"diversidade" "areia" "silte" "argila" "mat.organica" "transecto"
0.479165623928275 2.46 72.17 25.37 6.59 1
0.25303697544794 1.23 70 28.77 6.6 1
0.454664400430208 0.56 67.44 32 6.48 1
0.383662000469388 0.68 73.47 25.86 5.92 1
0.184907399167776 0.09 77.43 22.48 5.94 1
0 1.72 77.33 20.95 5.37 1
0.206192050633232 1.62 74.01 24.37 6.25 1
0.376770161256437 0.12 71.78 28.1 5.38 1
0.529706199057654 0.53 83.75 25.72 6.07 1
0.577354049143257 0.38 68.2 31.42 6.88 1
0.42499480781657 4.34 82.57 13.1 4.02 2
0.500402423538188 4.01 79.51 16.48 3.19 2
0.509815699581689 4.49 74.57 20.34 4.94 2
0.481353335813836 4.68 70.24 25.09 5.35 2
0.47223485738498 0.38 75 24.62 5.88 2
0.347503880671897 0.42 72.57 27.01 6.18 2
0.550536087890849 0.67 66.18 33.15 5.7 2
0.1879602446757 0.72 77.45 21.83 4.39 2
0.654391254926647 3.03 66.94 30.03 5.92 2
0.69189665920508 0.4 74.49 25.11 4.86 2
0 0.34 85.85 13.82 6.86 3
0.380961549459493 0.07 75.94 23.99 5.35 3
0.178844912716848 0.31 71.2 28.49 5.62 3
0.218525281242793 1.12 72.88 26.03 6.44 3
0.514653165428929 1 79.99 19.1 4.95 3
0.569161075386412 0.17 80.14 19.7 4.39 3
0 0.08 78.59 21.33 4.54 3
0.196094659620907 0.08 74.74 25.18 5.47 3
0.556646903582107 0.26 72.34 27.4 5.6 3
0.558577924073418 0.15 70.87 28.97 5.78 3
0 2.46 72.17 25.37 6.59 1
0.132691420839872 1.23 70 28.77 6.6 1
0 0.56 67.44 32 6.48 1
0 0.68 73.47 25.86 5.92 1
0 0.09 77.43 22.48 5.94 1
0 1.72 77.33 20.95 5.37 1
0 1.62 74.01 24.37 6.25 1
0.0652143635114322 0.12 71.78 28.1 5.38 1
0 0.53 83.75 25.72 6.07 1
0.68936168314351 0.38 68.2 31.42 6.88 1
0.617472376517008 4.34 82.57 13.1 4.02 2
0.931198639580614 4.01 79.51 16.48 3.19 2
0.629830912139056 4.49 74.57 20.34 4.94 2
0.299959552451294 4.68 70.24 25.09 5.35 2
1.03982765482415 0.38 75 24.62 5.88 2
1.30509637194834 0.42 72.57 27.01 6.18 2
1.13520400430207 0.67 66.18 33.15 5.7 2
0.615751164556391 0.72 77.45 21.83 4.39 2
0.886040560549952 3.03 66.94 30.03 5.92 2
0 0.4 74.49 25.11 4.86 2
0.348217253446596 0.34 85.85 13.82 6.86 3
0.708090376332485 0.07 75.94 23.99 5.35 3
0.671946724574849 0.31 71.2 28.49 5.62 3
0.429645038298805 1.12 72.88 26.03 6.44 3
1.06286955124263 1 79.99 19.1 4.95 3
0.693147180559945 0.17 80.14 19.7 4.39 3
0.412950124444336 0.08 78.59 21.33 4.54 3
0.540204142388861 0.08 74.74 25.18 5.47 3
0.898514885927588 0.26 72.34 27.4 5.6 3
0.729871209983116 0.15 70.87 28.97 5.78 3
