densidade substrato bloco
3 granito A
6 granito B
4 granito C
5 granito D
7 granito E
8 granito F
8 granito G
7 granito H
5 granito I
3 granito J
8 arenito K
8 arenito L
3 arenito M
5 arenito N
6 arenito O
6 arenito P
11 arenito Q
5 arenito R
7 arenito S
7 arenito T
15 basalto A
15 basalto B
14 basalto C
14 basalto D
13 basalto E
11 basalto F
11 basalto G
14 basalto H
11 basalto I
13 basalto J
13 granito K
16 granito L
17 granito M
13 granito N
14 granito O
13 granito P
14 granito Q
11 granito R
13 granito S
13 granito T
16 arenito A
19 arenito B
15 arenito C
15 arenito D
14 arenito E
13 arenito F
19 arenito G
16 arenito H
10 arenito I
15 arenito J
19 basalto K
18 basalto L
14 basalto M
13 basalto N
18 basalto O
19 basalto P
15 basalto Q
21 basalto R
15 basalto S
14 basalto T
