inundacao	riqueza	plantas
frequente	9	16
frequente	9	20
frequente	7	10
frequente	11	25
frequente	6	12
frequente	6	10
frequente	8	18
frequente	4	9
frequente	3	9
frequente	2	5
frequente	9	13
frequente	8	14
frequente	13	21
frequente	13	19
frequente	13	17
frequente	12	29
frequente	12	31
frequente	12	20
frequente	6	25
frequente	5	13
frequente	7	12
frequente	13	22
frequente	15	28
frequente	11	23
frequente	14	24
frequente	15	21
frequente	15	23
frequente	9	14
frequente	14	20
frequente	16	27
ocasional	14	27
ocasional	13	25
ocasional	15	33
ocasional	11	20
ocasional	12	22
ocasional	12	14
ocasional	14	20
ocasional	16	29
ocasional	13	16
ocasional	10	17
ocasional	18	26
ocasional	9	15
ocasional	11	15
ocasional	12	18
ocasional	6	13
ocasional	13	20
ocasional	11	18
ocasional	13	25
ocasional	9	14
ocasional	14	20
ocasional	14	15
ocasional	17	22
ocasional	16	23
ocasional	16	23
ocasional	10	17
ocasional	11	20
ocasional	12	20
ocasional	8	13
ocasional	9	19
ocasional	12	19
ocasional	12	22
rara	9	18
rara	12	20
rara	5	7
rara	8	17
rara	6	15
rara	11	18
rara	8	10
rara	8	12
rara	7	11
rara	8	15
rara	7	13
rara	8	13
rara	3	6
rara	5	7
rara	7	7
rara	4	4
rara	6	6
rara	11	12
rara	9	15
rara	9	18
rara	8	11
rara	1	1
rara	9	10
rara	8	8
rara	6	8
rara	9	12
rara	11	14
rara	7	9
rara	8	17
rara	7	8
rara	7	10
rara	6	9
rara	13	16
rara	10	12
rara	8	11
rara	8	11
rara	6	10
rara	4	12
rara	6	15
